# Generated by scripts/build-game-titles.mjs — do not edit by hand.
# Source: https://github.com/libretro/libretro-database (CC BY-SA 4.0).
# Generated on 2026-09-16 with 36858 serials.
DLDOLD67J1DIS	Gekkan Nintendo Tentou Demo 2003.12.1
DLDOLD68EUSA	Interactive Multi-Game Demo Disc Version 25
DLDOLD68JDIS	Gekkan Nintendo Tentou Demo 2004.1.1
DLDOLD69EUSA	Interactive Multi-Game Demo Disc Version 24
DLDOLD72EUSA	Interactive Multi-Game Demo Disc Version 23
DLDOLD73EUSA	Interactive Multi-Game Demo Disc Version 22
DLDOLD73JDIS	Gekkan Nintendo Tentou Demo 2004.2.1
DLDOLD74EUSA	Interactive Multi-Game Demo Disc Version 21
DLDOLD75EUSA	Interactive Multi-Game Demo Disc Version 20
DLDOLD75JDIS	Gekkan Nintendo Tentou Demo 2004.3.1
DLDOLD76EUSA	Interactive Multi-Game Demo Disc Version 19
DLDOLD77EUSA	Interactive Multi-Game Demo Disc Version 18
DLDOLD77JDIS	Gekkan Nintendo Tentou Demo 2004.4.1
DLDOLD77PEUR	Interactive Multi-Game Demo Disk - April 2006
DLDOLD78EUSA	Interactive Multi-Game Demo Disc Version 17
DLDOLD78JDIS	Gekkan Nintendo Tentou Demo 2004.5.1
DLDOLD78PEUR	Interactive Multi-Game Demo Disk - October 2005
DLDOLD79EUSA	Interactive Multi-Game Demo Disc Version 16
DLDOLD79JDIS	Gekkan Nintendo Tentou Demo 2004.6.1
DLDOLD79PEUR	Interactive Multi-Game Demo Disk - May 2005
DLDOLD82EUSA	Interactive Multi-Game Demo Disc Version 15
DLDOLD82JDIS	Gekkan Nintendo Tentou Demo 2004.7.1
DLDOLD82PEUR	Interactive Multi-Game Demo Disk - April 2005
DLDOLD83EUSA	Interactive Multi-Game Demo Disc Version 14
DLDOLD83PEUR	Interactive Multi-Game Demo Disk - February 2005
DLDOLD84EUSA	Interactive Multi-Game Demo Disc Version 13
DLDOLD84JDIS	Gekkan Nintendo Tentou Demo 2004.8.1
DLDOLD84PEUR	Interactive Multi-Game Demo Disk - November 2004
DLDOLD85EUSA	Interactive Multi-Game Demo Disc Version 12
DLDOLD85JDIS	Gekkan Nintendo Tentou Demo 2004.9.1
DLDOLD85PEUR	Interactive Multi-Game Demo Disk - July 2004
DLDOLD86EUSA	Interactive Multi-Game Demo Disc Version 11
DLDOLD86JDIS	Gekkan Nintendo Tentou Demo 2004.10.1
DLDOLD86PEUR	Interactive Multi-Game Demo Disk - May 2004
DLDOLD86UAUS	Interactive Multi-Game Demo Disk - October 2005
DLDOLD87EUSA	Nintendo GameCube Preview Disc - May 2003
DLDOLD87JDIS	Gekkan Nintendo Tentou Demo 2004.11.1
DLDOLD87PEUR	Interactive Multi-Game Demo Disk - March 2004
DLDOLD87UAUS	Interactive Multi-Game Demo Disk - February 2005
DLDOLD88EUSA	Interactive Multi-Game Demo Disc Version 10
DLDOLD88JDIS	Gekkan Nintendo Tentou Demo 2004.12.1
DLDOLD88PEUR	Interactive Multi-Game Demo Disk - November 2003
DLDOLD88UAUS	Interactive Multi-Game Demo Disk - November 2004
DLDOLD89EUSA	Interactive Multi-Game Demo Disc Version 9
DLDOLD89JDIS	Club Nintendo Original e-Catalog 2004
DLDOLD89PEUR	Interactive Multi-Game Demo Disk - September 2003
DLDOLD89UAUS	Interactive Multi-Game Demo Disk - May 2004
DLDOLD92EUSA	Interactive Multi-Game Demo Disc Version 8
DLDOLD92JDIS	Gekkan Nintendo Tentou Demo 2004-2005 Nenmatsunenshigou
DLDOLD92PEUR	Interactive Multi-Game Demo Disk - June 2003
DLDOLD92UAUS	Interactive Multi-Game Demo Disk - March 2004
DLDOLD93EUSA	Interactive Multi-Game Demo Disc Version 7
DLDOLD93JDIS	Gekkan Nintendo Tentou Demo 2005.1.1
DLDOLD93PEUR	Interactive Multi-Game Demo Disk - April 2003
DLDOLD93UAUS	Interactive Multi-Game Demo Disk - November 2003
DLDOLD94JDIS	Gekkan Nintendo Tentou Demo 2005.2.1
DLDOLD94PEUR	Interactive Multi-Game Demo Disk - February 2003
DLDOLD94UAUS	Interactive Multi-Game Demo Disk - September 2003
DLDOLD95JDIS	Gekkan Nintendo Tentou Demo 2005.3.1
DLDOLD95PEUR	Interactive Multi-Game Demo Disk - December 2002
DLDOLD95UAUS	Interactive Multi-Game Demo Disk - April 2003
DLDOLD96JDIS	Gekkan Nintendo Tentou Demo 2005.4.1
DLDOLD96PEUR	Interactive Multi-Game Demo Disk - November 2002
DLDOLD97JDIS	Gekkan Nintendo Tentou Demo 2005.5.1
DLDOLD98JDIS	Gekkan Nintendo Tentou Demo 2005.6.1
DLDOLD99JDIS	Gekkan Nintendo Tentou Demo 2005.7.1
DLDOLDALJDIS	Dairantou Smash Brothers DX
DLDOLDBIJDIS	Biohazard
DLDOLDBJJDIS	Biohazard
DLDOLDBSJDIS	Beach Spikers - Virtua Beach Volleyball
DLDOLDBZJDIS	Biohazard Zero - Trial Edition
DLDOLDDPJDIS	Mr. Driller - Drill Land Event-you Disc
DLDOLDEOJDIS	Capcom vs. SNK 2 EO
DLDOLDFIJDIS	2002 FIFA World Cup
DLDOLDFSJDIS	FIFA 2002 - Road to FIFA World Cup
DLDOLDGAJDIS	Kidou Senshi Gundam - Senshitachi no Kiseki
DLDOLDKNJDIS	Kinnikuman Nisei - Shinsedai Choujin vs. Densetsu Choujin Event-you Disc
DLDOLDLSEUSA	Star Wars - Rogue Squadron III - Rebel Strike
DLDOLDLSPEUR	Star Wars - Rogue Squadron III - Rebel Strike
